Route Name,Ascent Label,Ascent ID,Ascent Link,Ascent Type,Route Grade,Ascent Grade,Route Gear Style,Ascent Gear Style,Route Height,Ascent Height,# Ascents,Route Stars,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot
La parka,,13045969326,http://www.thecrag.com/ascent/13045969326,Onsight,6b+,,Sport,Sport,20m,,1,***,4510513461,http://www.thecrag.com/route/4510513461,Spain,http://www.thecrag.com/area/11747395,La Palma,http://www.thecrag.com/area/81852534,La Palma - Campanarios de Jedey - Aguja Campanario,Elena Ruiz,"One of the most beautiful routes I've ever done. It's just unbelievable, how astonishing is the place. Some rocks are not so stable, but you can still trust them. Even though the approach is not easy, it's totally worth it.",Classic,2026-01-21T00:00:00Z,2026-01-21T15:47:38Z,
n2,,13045559220,http://www.thecrag.com/ascent/13045559220,Onsight,6a,,Sport,Sport,17m,,1,**,4511668638,http://www.thecrag.com/route/4511668638,Spain,http://www.thecrag.com/area/11747395,La Palma,http://www.thecrag.com/area/81852534,La Palma - Campanarios de Jedey - Aguja Sur,Elena Ruiz,"Great route, very slab style. Getting to the first bolt is sketchy because of the falling rocks, but once you are at the actual wall, the rock is super solid. I enjoyed it a lot, very recommended.",Very Good,2026-01-21T00:00:00Z,2026-01-21T13:02:03Z,
Distorsión total,,13002830343,http://www.thecrag.com/ascent/13002830343,Onsight,5c,,Sport,Sport,9m,,1,*,1867850373,http://www.thecrag.com/route/1867850373,Spain,http://www.thecrag.com/area/11747395,Tenerife,http://www.thecrag.com/area/81852390,Tenerife - South - Arico Arriba - Los Pinos,Elena Ruiz,"Definitely not a 5c or 5+. More a 6a than anything else. If you are looking for something entry level, I wouldn't recommend it.",Good,2026-01-13T00:00:00Z,2026-01-13T22:46:12Z,
Mi abuelita la maldita,,13002829455,http://www.thecrag.com/ascent/13002829455,Red point,6b+,,Sport,Sport,8m,,2,**,1867849929,http://www.thecrag.com/route/1867849929,Spain,http://www.thecrag.com/area/11747395,Tenerife,http://www.thecrag.com/area/81852390,Tenerife - South - Arico Arriba - Los Pinos,Elena Ruiz,"Rest it properly after a first attempt and could send it knowing the beta, even though it's a hard 6b+, very boulder style.",Very Good,2026-01-13T00:00:00Z,2026-01-13T22:45:49Z,
Mi abuelita la maldita,,13002828393,http://www.thecrag.com/ascent/13002828393,Hang dog,6b+,,Sport,Sport,8m,,2,**,1867849929,http://www.thecrag.com/route/1867849929,Spain,http://www.thecrag.com/area/11747395,Tenerife,http://www.thecrag.com/area/81852390,Tenerife - South - Arico Arriba - Los Pinos,Elena Ruiz,"Wanted to try this route since it was looking so nice from the bottom, but couldn't read it properly between the 2nd and 3rd bolts.",Very Good,2026-01-13T00:00:00Z,2026-01-13T22:45:31Z,
Los robadores,,13002827514,http://www.thecrag.com/ascent/13002827514,Onsight,6a+,,Sport,Sport,18m,,1,*,1867850928,http://www.thecrag.com/route/1867850928,Spain,http://www.thecrag.com/area/11747395,Tenerife,http://www.thecrag.com/area/81852390,Tenerife - South - Arico Arriba - Los Pinos,Elena Ruiz,"Great route, but sketchy in the first movements, specially being close to the floor. Anyway, interesting route and recommended.",Very Good,2026-01-13T00:00:00Z,2026-01-13T22:45:14Z,
La mare de la sardineta,,12808844544,http://www.thecrag.com/ascent/12808844544,Hang dog,6b,,Sport,Sport,16m,,1,**,238725765,http://www.thecrag.com/route/238725765,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Melafots,"Ana Mestre,  Andreu Farré,  Elena Ruiz,  Genís,  Janey L,  Marc Klingenberg","I wasn't feeling so confident in this route. Even though I liked it, there are some unstable rocks and some polished holes.",Good,2025-12-08T00:00:00Z,2025-12-08T11:55:27Z,
Trigonometeria,,12808840017,http://www.thecrag.com/ascent/12808840017,Onsight,6a+,,Sport,Sport,20m,,2,**,18407977,http://www.thecrag.com/route/18407977,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Melafots,"Ana Mestre,  Andreu Farré,  Elena Ruiz,  Genís,  Janey L,  Marc Klingenberg","After two years without coming to this sector, I was able to repeat this route ""on sight"" since I wasn't remembering a thing. Cool route with an strange last movement.",Classic,2025-12-08T00:00:00Z,2025-12-08T11:52:38Z,
Cojón prieto,,12808823256,http://www.thecrag.com/ascent/12808823256,Hang dog,7a,,Sport,Sport,30m,,2,***,220648233,http://www.thecrag.com/route/220648233,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,"Ana Mestre,  Andreu Farré,  Elena Ruiz,  Genís,  Janey L,  Marc Klingenberg","Last year I was able to onsight this route, but this time was another story. Anyway, incredible route. Very well recommended.",Mega Classic,2025-12-07T00:00:00Z,2025-12-08T11:47:27Z,
Arrebato,,12804319773,http://www.thecrag.com/ascent/12804319773,Hang dog,6b+,,Sport,Sport,28m,,1,**,220648512,http://www.thecrag.com/route/220648512,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,"Ana Mestre,  Andreu Farré,  Elena Ruiz,  Genís,  Janey L,  Marc Klingenberg",Fun route with a continuous climbing for the most of the route and a roof in the end. Physical last part but good hands.,Very Good,2025-12-07T00:00:00Z,2025-12-07T14:01:19Z,
Leire,,12804315816,http://www.thecrag.com/ascent/12804315816,Onsight,5c,,Sport,Sport,22m,,1,*,220653576,http://www.thecrag.com/route/220653576,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,"Ana Mestre,  Andreu Farré,  Elena Ruiz,  Genís,  Janey L,  Marc Klingenberg",Great chimney and very enjoyable! Very recommended and easy if you climbed chimneys in the past.,Classic,2025-12-07T00:00:00Z,2025-12-07T13:57:23Z,
Re i no re mes,,12799418718,http://www.thecrag.com/ascent/12799418718,Hang dog,6c,,Sport,Sport,16m,,2,*,747120666,http://www.thecrag.com/route/747120666,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Marges De Dalt,"Andreu Farré,  Genís,  Marc Klingenberg,  Ana Mestre,  Elena Ruiz,  Quim Picó Mora,  Janey L","After years of the first attempt, I tried again with better performance but not enough. A pretty complex slab.",Very Good,2025-12-06T00:00:00Z,2025-12-06T16:02:02Z,
Morron y cuenta nueve,,12799415898,http://www.thecrag.com/ascent/12799415898,Onsight,6b,,Sport,Sport,18m,,1,*,747121596,http://www.thecrag.com/route/747121596,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Marges De Dalt,"Andreu Farré,  Genís,  Marc Klingenberg,  Ana Mestre,  Elena Ruiz,  Quim Picó Mora,  Janey L",Pumpy route with great hand holes. Fun one!,Very Good,2025-12-06T00:00:00Z,2025-12-06T16:00:11Z,
Fletxa directa,,12799143273,http://www.thecrag.com/ascent/12799143273,Onsight,5+,,Sport,Sport,22m,,1,**,747121038,http://www.thecrag.com/route/747121038,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Marges De Dalt,"Andreu Farré,  Genís,  Marc Klingenberg,  Ana Mestre,  Elena Ruiz,  Quim Picó Mora",Long and fun route. Recommended!,Classic,2025-12-06T00:00:00Z,2025-12-06T14:01:14Z,
Cos Que Cao,,12799139244,http://www.thecrag.com/ascent/12799139244,Onsight,5c,,Sport,Sport,18m,,1,*,18411493,http://www.thecrag.com/route/18411493,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Can Marges De Dalt,"Andreu Farré,  Genís,  Marc Klingenberg,  Ana Mestre,  Elena Ruiz,  Quim Picó Mora","Great warm-up route with some great first movements. Only 4 bolts, so be aware.",Very Good,2025-12-06T00:00:00Z,2025-12-06T13:59:19Z,
De la vespino,,12763210014,http://www.thecrag.com/ascent/12763210014,Onsight,6a+,,Sport,Sport,18m,,1,***,258389379,http://www.thecrag.com/route/258389379,Spain,http://www.thecrag.com/area/11747395,Banyadores,http://www.thecrag.com/area/157649697,Banyadores - Amazonia,"Genís,  Xavier Piqueras",Top slab in the first three bolts and easy-going rest of the route. Great one!,Classic,2025-11-29T00:00:00Z,2025-11-29T14:22:29Z,
Diedre DOM,,12763040667,http://www.thecrag.com/ascent/12763040667,Onsight,4c,,Sport,Sport,8m,,1,***,258397269,http://www.thecrag.com/route/258397269,Spain,http://www.thecrag.com/area/11747395,Banyadores,http://www.thecrag.com/area/157649697,Banyadores - Amazonia,"Genís,  Xavier Piqueras","Done did as a second pitch coming from the RIP route (6a). Fun dihedral, recommended!",Classic,2025-11-29T00:00:00Z,2025-11-29T13:15:24Z,
